,carat,cut,color,clarity,depth,table,price,x,y,z
0,1.41,Fair,H,I1,64.7,58.0,4145,7.05,7.0,4.55
1,1.23,Ideal,H,I1,61.9,61.0,3905,6.85,6.79,4.22
2,1.56,Premium,H,SI1,61.9,59.0,10990,7.46,7.4,4.6
3,0.9,Very Good,H,VS2,62.7,59.0,4173,6.11,6.17,3.85
4,0.3,Premium,H,VS1,62.1,59.0,491,4.25,4.28,2.65
5,0.31,Ideal,F,VVS1,61.6,55.0,975,4.36,4.41,2.7
6,0.36,Ideal,E,VS1,61.6,57.0,1094,4.58,4.54,2.81
7,0.35,Ideal,J,VVS1,62.1,53.0,540,4.53,4.55,2.82
8,0.31,Ideal,D,VS1,62.1,56.0,704,4.3,4.36,2.69
9,1.01,Premium,E,VVS2,61.8,59.0,9711,6.42,6.39,3.96
10,0.32,Very Good,F,VS2,63.3,57.0,773,4.38,4.34,2.76
11,2.01,Premium,H,SI2,61.5,59.0,11635,8.12,8.08,4.98
12,1.23,Ideal,H,VVS2,61.6,57.0,8509,6.87,6.92,4.25
13,1.01,Premium,F,VVS2,62.0,58.0,8532,6.36,6.45,3.97
14,0.7,Very Good,H,IF,62.8,56.0,2882,5.62,5.65,3.54
15,0.24,Very Good,E,VVS1,61.7,58.0,485,3.94,4.0,2.45
16,1.09,Ideal,G,SI2,61.7,57.0,4733,6.57,6.62,4.07
17,0.3,Very Good,G,VVS2,62.9,58.0,638,4.26,4.29,2.69
18,0.72,Very Good,I,VS2,61.8,60.0,2109,5.72,5.76,3.55
19,0.27,Ideal,F,IF,61.8,55.0,760,4.14,4.21,2.57
20,0.7,Very Good,F,VS2,61.7,63.0,2737,5.61,5.64,3.47
21,1.21,Premium,H,VS1,62.3,58.0,7223,6.84,6.77,4.24
22,0.36,Ideal,H,VVS2,62.3,57.0,726,4.52,4.57,2.83
23,1.51,Very Good,J,VS2,62.2,60.0,7557,7.27,7.32,4.54
24,0.24,Very Good,D,VS1,62.2,58.0,419,3.95,3.99,2.47
25,0.31,Ideal,G,VVS1,60.2,58.0,676,4.37,4.43,2.65
26,0.55,Ideal,G,VVS2,60.5,58.0,2016,5.3,5.34,3.22
27,0.33,Ideal,H,VS2,60.7,57.0,521,4.46,4.5,2.72
28,0.5,Ideal,E,VS2,60.8,57.0,1768,5.16,5.13,3.13
29,0.5,Good,G,VVS2,63.6,57.0,1858,5.08,5.04,3.22
30,1.01,Ideal,G,VS2,61.9,56.0,6439,6.42,6.46,3.99
31,0.38,Ideal,G,SI1,60.6,57.0,695,4.71,4.76,2.87
32,0.84,Very Good,F,VVS2,60.4,62.0,4318,6.1,6.15,3.7
33,1.0,Premium,E,SI2,62.2,59.0,4390,6.38,6.35,3.96
